source_file,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,16.0,,32799,0.9980548187444739,27095,26291.499999999996,740,589.3,dora_trAll_lora_r16_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,1.0,,32799,0.8148541114058354,18957,18077.1,844,666.1,dora_trAll_lora_r1_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,32.0,,32799,0.9985273941278698,27496,26732.8,727,581.6000000000001,dora_trAll_lora_r32_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,3.0,,32799,0.9909204548919174,23113,22291.7,766,610.5999999999999,dora_trAll_lora_r3_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,8.0,,32799,0.997384066587396,25854,25056.4,729,582.3000000000001,dora_trAll_lora_r8_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,16.0,,32799,0.9666178846916064,10687,10117.1,1423,1137.0,dora_trAll_lora_r16_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,1.0,,32799,0.8381932375987073,13151,12518.0,1199,952.4000000000001,dora_trAll_lora_r1_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,32.0,,32799,0.9680234153480289,10480,9921.900000000001,1442,1155.0,dora_trAll_lora_r32_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,3.0,,32799,0.9455227293515046,11809,11230.8,1348,1070.8,dora_trAll_lora_r3_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,8.0,,32799,0.9632732705265404,10888,10316.400000000001,1396,1114.4,dora_trAll_lora_r8_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,16.0,,32799,0.44001036616970035,9356,8627.8,1261,994.5,dora_trAll_lora_r16_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,1.0,,32799,0.43427543522668377,9505,8781.7,1258,988.9000000000001,dora_trAll_lora_r1_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,32.0,,32799,0.44145248330741793,9311,8588.3,1255,987.3,dora_trAll_lora_r32_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,3.0,,32799,0.43875118143845854,9368,8644.8,1244,980.3000000000001,dora_trAll_lora_r3_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,8.0,,32799,0.43956218177383455,9375,8643.1,1260,991.4000000000001,dora_trAll_lora_r8_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-3,1.0,,32799,,0,0.0,0,0.0,dora_trAll_lora_r1_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,16.0,,32799,0.9974145553218086,16891,16206.5,1169,934.4000000000001,dora_trAll_lora_r16_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,1.0,,32799,0.9519771944266594,16529,15770.400000000001,1040,827.0,dora_trAll_lora_r1_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,32.0,,32799,0.9975151681453703,16634,15954.600000000002,1206,963.9000000000001,dora_trAll_lora_r32_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,3.0,,32799,0.9931278392633921,17051,16332.2,1109,883.6000000000001,dora_trAll_lora_r3_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,8.0,,32799,0.9962681789078935,17453,16762.7,1117,891.0,dora_trAll_lora_r8_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,16.0,,32799,0.8607579499374981,11964,11349.7,1251,997.5,dora_trAll_lora_r16_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,1.0,,32799,0.7140888441720783,12905,12216.3,1135,903.8,dora_trAll_lora_r1_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,32.0,,32799,0.8628189883837922,11932,11310.3,1241,989.2,dora_trAll_lora_r32_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,3.0,,32799,0.8284307448397816,12441,11815.2,1189,948.6000000000001,dora_trAll_lora_r3_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,8.0,,32799,0.8504588554529102,12173,11540.800000000001,1239,983.8000000000001,dora_trAll_lora_r8_lr5e-5
