source_file,adapter_type,lr,rank,svals,svecs,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,16,,,,32799,0.004637336504161712,35210,35002.2,0,0.0,dora_trAll_lora_r16_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,1,,,,32799,0.003070215555352298,35346,35158.0,0,0.0,dora_trAll_lora_r1_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,32,,,,32799,0.0021220159151193636,35335,35178.4,0,0.0,dora_trAll_lora_r32_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,3,,,,32799,0.005170889356382817,35139,34940.5,0,0.0,dora_trAll_lora_r3_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-2,8,,,,32799,0.004981859203024483,35174,34988.200000000004,0,0.0,dora_trAll_lora_r8_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,16,,,,32799,0.9980548187444739,24471,24324.9,251,225.90000000000003,dora_trAll_lora_r16_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,1,,,,32799,0.8148541114058354,16099,15939.0,272,244.80000000000004,dora_trAll_lora_r1_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,32,,,,32799,0.9985273941278698,25001,24860.2,275,247.50000000000006,dora_trAll_lora_r32_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,3,,,,32799,0.9909204548919174,20420,20272.0,272,244.80000000000004,dora_trAll_lora_r3_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-3,8,,,,32799,0.997384066587396,23253,23107.300000000003,258,232.20000000000005,dora_trAll_lora_r8_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,16,,,,32799,0.9666178846916064,8799,8702.0,492,442.80000000000007,dora_trAll_lora_r16_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,1,,,,32799,0.8381932375987073,11073,10959.5,389,350.10000000000014,dora_trAll_lora_r1_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,32,,,,32799,0.9680234153480289,8653,8556.5,506,455.4000000000001,dora_trAll_lora_r32_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,3,,,,32799,0.9455227293515046,9881,9782.800000000001,436,392.4000000000001,dora_trAll_lora_r3_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-4,8,,,,32799,0.9632732705265404,9006,8908.7,485,436.5000000000001,dora_trAll_lora_r8_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,16,,,,32799,0.44001036616970035,6960,6839.900000000001,383,344.7000000000001,dora_trAll_lora_r16_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,1,,,,32799,0.43427543522668377,7136,7011.900000000001,365,328.5000000000001,dora_trAll_lora_r1_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,32,,,,32799,0.44145248330741793,6935,6816.000000000001,377,339.30000000000007,dora_trAll_lora_r32_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,3,,,,32799,0.43875118143845854,6984,6865.0,382,343.80000000000007,dora_trAll_lora_r3_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,1e-5,8,,,,32799,0.43956218177383455,6961,6841.1,379,341.1000000000001,dora_trAll_lora_r8_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-3,16,,,,32799,0.0064453184548309405,34922,34630.700000000004,0,0.0,dora_trAll_lora_r16_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-3,1,,,,32799,0.0045580657946888625,35056,34830.700000000004,0,0.0,dora_trAll_lora_r1_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-3,32,,,,32799,0.003686087990487515,35297,35128.799999999996,0,0.0,dora_trAll_lora_r32_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-3,3,,,,32799,0.002597640171956462,35315,35138.4,0,0.0,dora_trAll_lora_r3_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-3,8,,,,32799,0.0031982682398853626,35293,35110.1,0,0.0,dora_trAll_lora_r8_lr5e-3
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,16,,,,32799,0.9974145553218086,14632,14514.400000000001,402,361.8000000000001,dora_trAll_lora_r16_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,1,,,,32799,0.9519771944266594,14044,13910.8,349,314.10000000000014,dora_trAll_lora_r1_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,32,,,,32799,0.9975151681453703,14408,14288.8,424,381.6000000000001,dora_trAll_lora_r32_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,3,,,,32799,0.9931278392633921,14706,14581.5,370,333.00000000000006,dora_trAll_lora_r3_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-4,8,,,,32799,0.9962681789078935,15193,15069.8,381,342.9000000000001,dora_trAll_lora_r8_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,16,,,,32799,0.8607579499374981,9961,9853.5,420,378.0000000000001,dora_trAll_lora_r16_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,1,,,,32799,0.7140888441720783,10647,10527.6,389,350.10000000000014,dora_trAll_lora_r1_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,32,,,,32799,0.8628189883837922,9883,9779.5,412,370.8000000000001,dora_trAll_lora_r32_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,3,,,,32799,0.8284307448397816,10375,10268.2,401,360.9000000000001,dora_trAll_lora_r3_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-dora.jsonl,dora,5e-5,8,,,,32799,0.8504588554529102,10088,9978.800000000001,405,364.5000000000001,dora_trAll_lora_r8_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,16,,,,32799,0.96486478246288,8937,8836.6,471,423.90000000000015,lora_trAll_lora_r16_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,1,,,,32799,0.8443519619500595,10904,10792.300000000001,390,351.0000000000001,lora_trAll_lora_r1_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,32,,,,32799,0.9662367755114485,8798,8703.0,484,435.60000000000014,lora_trAll_lora_r32_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,3,,,,32799,0.9412146711789993,9963,9858.900000000001,459,413.10000000000014,lora_trAll_lora_r3_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,1e-4,8,,,,32799,0.9609683222049453,9066,8965.7,496,446.4000000000001,lora_trAll_lora_r8_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,2e-4,16,,,,32799,0.9889295405347723,9171,9078.4,497,447.30000000000007,lora_trAll_lora_r16_lr2e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,2e-4,1,,,,32799,0.9134272386353242,11494,11376.7,398,358.20000000000016,lora_trAll_lora_r1_lr2e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,2e-4,32,,,,32799,0.9911796091344249,8875,8783.0,504,453.60000000000014,lora_trAll_lora_r32_lr2e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,2e-4,3,,,,32799,0.9772584530016158,10436,10333.8,435,391.5000000000001,lora_trAll_lora_r3_lr2e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,2e-4,8,,,,32799,0.9877862129942987,9521,9424.2,477,429.3000000000002,lora_trAll_lora_r8_lr2e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-4,16,,,,32799,0.9973139424982469,14678,14560.400000000001,402,361.8000000000001,lora_trAll_lora_r16_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-4,1,,,,32799,0.9383151925363578,13728,13597.199999999999,346,311.4000000000001,lora_trAll_lora_r1_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-4,32,,,,32799,0.9976920028049635,13982,13871.7,424,381.6000000000001,lora_trAll_lora_r32_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-4,3,,,,32799,0.9925485533095522,14810,14684.100000000002,368,331.20000000000005,lora_trAll_lora_r3_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-4,8,,,,32799,0.9965029421628708,14998,14873.2,391,351.9000000000001,lora_trAll_lora_r8_lr5e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,16,,,,32799,0.8551754626665448,10027,9920.2,424,381.6000000000001,lora_trAll_lora_r16_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,1,,,,32799,0.7207689258818866,10789,10668.6,383,344.7000000000001,lora_trAll_lora_r1_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,32,,,,32799,0.8578218848135613,10008,9903.4,424,381.6000000000001,lora_trAll_lora_r32_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,3,,,,32799,0.8209762492758926,10443,10334.7,389,350.10000000000014,lora_trAll_lora_r3_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,8,,,,32799,0.8493643098874966,10051,9946.5,424,381.6000000000001,lora_trAll_lora_r8_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,16,,,,32799,0.964136101710418,9132,9038.0,498,448.2000000000001,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r16_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,1,,,,32799,0.8318515808408792,11043,10929.5,404,363.60000000000014,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r1_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,3,,,,32799,0.9361962254946797,10172,10069.900000000001,463,416.70000000000016,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r3_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,5e-5,8,,,,32799,0.9576694411414982,9458,9362.1,484,435.60000000000014,meta-llama_Llama-3.2-3B-Instruct_lora_trAll_lora_r8_lr5e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,7e-4,16,,,,32799,0.9978139577426142,19178,19044.9,331,297.9000000000001,lora_trAll_lora_r16_lr7e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,7e-4,1,,,,32799,0.886112381475045,14399,14263.2,318,286.20000000000005,lora_trAll_lora_r1_lr7e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,7e-4,32,,,,32799,0.9982895819994513,19047,18912.7,351,315.9000000000001,lora_trAll_lora_r32_lr7e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,7e-4,3,,,,32799,0.9935119973169914,16914,16779.5,334,300.60000000000014,lora_trAll_lora_r3_lr7e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,lora,7e-4,8,,,,32799,0.9975090703984877,18924,18791.6,322,289.80000000000007,lora_trAll_lora_r8_lr7e-4
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,0.0,,32799,0.9713832738803012,13208,13086.900000000001,382,343.80000000000007,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s1024_v0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,0.0,,32799,0.9678099942071404,13387,13263.7,363,326.7000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s256_v0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,512,512.0,0.0,,32799,0.9707003262294583,13493,13369.800000000001,395,355.5000000000001,meta-llama_Llama-3.2-3B-Instruct_uiortholora_trAll_s512_v0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,0.0,,32799,0.9430988749657002,10352,10244.900000000001,439,395.10000000000014,uiortholora_trAll_sv1024_svec0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,128.0,,32799,0.945422116527943,10346,10234.3,415,373.5000000000001,uiortholora_trAll_sv1024_svec128_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,256.0,,32799,0.9463093386993506,10371,10261.0,444,399.60000000000014,uiortholora_trAll_sv1024_svec256_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,32.0,,32799,0.9443885484313547,10513,10404.4,445,400.5000000000001,uiortholora_trAll_sv1024_svec32_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,512.0,,32799,0.9434494954114455,10217,10108.7,431,387.90000000000015,uiortholora_trAll_sv1024_svec512_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,1024,1024.0,64.0,,32799,0.9432391231439984,10439,10330.400000000001,453,407.70000000000016,uiortholora_trAll_sv1024_svec64_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,0.0,,32799,0.9341412847952681,10571,10462.0,415,373.5000000000001,uiortholora_trAll_sv256_svec0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,128.0,,32799,0.9325863593402238,10469,10359.8,432,388.80000000000007,uiortholora_trAll_sv256_svec128_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,256.0,,32799,0.934464465380042,10523,10409.2,411,369.9000000000001,uiortholora_trAll_sv256_svec256_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,32.0,,32799,0.9311594865697125,10483,10374.2,408,367.2000000000001,uiortholora_trAll_sv256_svec32_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,512.0,,32799,,0,0.0,0,0.0,uiortholora_trAll_sv256_svec512_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,256,256.0,64.0,,32799,0.9331747919143878,10505,10392.400000000001,425,382.5000000000001,uiortholora_trAll_sv256_svec64_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,512,512.0,0.0,,32799,0.9371047897801762,10557,10438.5,443,398.7000000000001,uiortholora_trAll_sv512_svec0_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,512,512.0,128.0,,32799,0.9353364431842434,10492,10381.5,445,400.5000000000001,uiortholora_trAll_sv512_svec128_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,512,512.0,256.0,,32799,0.9373700417695662,10401,10291.0,458,412.20000000000016,uiortholora_trAll_sv512_svec256_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,512,512.0,32.0,,32799,0.9393883959876825,10463,10351.5,444,399.60000000000014,uiortholora_trAll_sv512_svec32_lr1e-2
meta-llama_Llama-3.2-3B-Instruct_scores-uiortholora.jsonl,uiortholora,1e-2,512,512.0,512.0,,32799,0.9380346961797615,10278,10167.900000000001,433,389.7000000000001,uiortholora_trAll_sv512_svec512_lr1e-2
