source_file,adapter_type,lr,rank,svals,svecs,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-3,16.0,,,,20469,0.008500659533929356,52906,52734.5,0,0.0,dora_trAll_lora_r16_lr1e-3
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-3,1.0,,,,20469,0.010611168107870439,52128,51735.700000000004,0,0.0,dora_trAll_lora_r1_lr1e-3
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-3,32.0,,,,20469,0.9969319458693635,48464,48398.2,32,28.8,dora_trAll_lora_r32_lr1e-3
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-3,3.0,,,,20469,0.0035907958376080905,53388,53252.2,0,0.0,dora_trAll_lora_r3_lr1e-3
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-3,8.0,,,,20469,0.19779666813229763,51850,51737.7,2,1.8,dora_trAll_lora_r8_lr1e-3
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-4,16.0,,,,20469,0.9976647613464263,7645,7604.5,130,117.00000000000001,dora_trAll_lora_r16_lr1e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-4,1.0,,,,20469,0.9971078215838585,8874,8825.1,129,116.10000000000002,dora_trAll_lora_r1_lr1e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-4,32.0,,,,20469,0.9968195808295471,7790,7746.0,125,112.50000000000006,dora_trAll_lora_r32_lr1e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-4,3.0,,,,20469,0.9969319458693635,8201,8158.0,115,103.50000000000004,dora_trAll_lora_r3_lr1e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-4,8.0,,,,20469,0.9971713322585373,8156,8114.3,129,116.10000000000002,dora_trAll_lora_r8_lr1e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-5,16.0,,,,20469,0.8107919292588794,9150,9089.0,106,95.40000000000003,dora_trAll_lora_r16_lr1e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-5,1.0,,,,20469,0.9399726415555232,9977,9924.6,162,145.80000000000004,dora_trAll_lora_r1_lr1e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-5,32.0,,,,20469,0.8073281547706286,9145,9082.9,101,90.90000000000005,dora_trAll_lora_r32_lr1e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-5,3.0,,,,20469,0.8002003028970638,9067,9002.5,105,94.50000000000003,dora_trAll_lora_r3_lr1e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,1e-5,8.0,,,,20469,0.8092090478284235,9072,9009.0,99,89.10000000000004,dora_trAll_lora_r8_lr1e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-3,1.0,,,,20469,,0,0.0,0,0.0,dora_trAll_lora_r1_lr5e-3
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-4,16.0,,,,20469,0.9985245981728467,21511,21437.6,82,73.80000000000003,dora_trAll_lora_r16_lr5e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-4,1.0,,,,20469,0.9966534759880795,22178,22108.4,77,69.30000000000004,dora_trAll_lora_r1_lr5e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-4,32.0,,,,20469,0.9984171185695441,20364,20281.899999999998,79,71.10000000000005,dora_trAll_lora_r32_lr5e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-4,3.0,,,,20469,0.9982021593629391,22612,22542.1,76,68.40000000000003,dora_trAll_lora_r3_lr5e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-4,8.0,,,,20469,0.9980360545214715,22171,22095.4,75,67.50000000000003,dora_trAll_lora_r8_lr5e-4
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-5,16.0,,,,20469,0.9934584005080853,8417,8368.6,125,112.50000000000006,dora_trAll_lora_r16_lr5e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-5,1.0,,,,20469,0.9913967462992819,8971,8922.9,120,108.00000000000003,dora_trAll_lora_r1_lr5e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-5,32.0,,,,20469,0.9935414529288191,8639,8593.6,117,105.30000000000005,dora_trAll_lora_r32_lr5e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-5,3.0,,,,20469,0.9925545947530411,8686,8638.199999999999,119,107.10000000000007,dora_trAll_lora_r3_lr5e-5
google_gemma-3-12b-it_scores-dora.jsonl,dora,5e-5,8.0,,,,20469,0.9938883189212957,8606,8560.5,124,111.60000000000005,dora_trAll_lora_r8_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-3,16.0,,,,20469,0.9976794176559676,45838,45763.799999999996,34,30.599999999999998,lora_trAll_lora_r16_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-3,1.0,,,,20469,0.012438321364013875,51966,51540.100000000006,0,0.0,lora_trAll_lora_r1_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-3,32.0,,,,20469,0.9980507108310127,44630,44551.4,42,37.8,lora_trAll_lora_r32_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-3,3.0,,,,20469,0.0031462211148566128,53489,53314.9,0,0.0,lora_trAll_lora_r3_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-3,64.0,,,,20469,0.9976745322194539,45754,45676.299999999996,45,40.49999999999999,lora_trAll_lora_r64_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-3,8.0,,,,20469,0.007440519810445064,53033,52862.4,0,0.0,lora_trAll_lora_r8_lr1e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-4,16.0,,,,20469,0.9971078215838585,7682,7638.8,129,116.10000000000002,lora_trAll_lora_r16_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-4,1.0,,,,20469,0.9956666178123015,8969,8920.3,126,113.40000000000006,lora_trAll_lora_r1_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-4,32.0,,,,20469,0.9968342371390884,7895,7851.800000000001,123,110.70000000000005,lora_trAll_lora_r32_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-4,3.0,,,,20469,0.9963408080511993,8412,8368.8,124,111.60000000000005,lora_trAll_lora_r3_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-4,64.0,,,,20469,0.9973911769016561,7963,7920.0,131,117.9,lora_trAll_lora_r64_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-4,8.0,,,,20469,0.9968488934486298,7868,7825.1,128,115.20000000000003,lora_trAll_lora_r8_lr1e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-5,16.0,,,,20469,0.7913674336801994,8947,8882.199999999999,101,90.90000000000005,lora_trAll_lora_r16_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-5,1.0,,,,20469,0.8190190043480385,9607,9544.1,94,84.60000000000005,lora_trAll_lora_r1_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-5,32.0,,,,20469,0.7874981679613073,8852,8790.4,100,90.00000000000004,lora_trAll_lora_r32_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-5,3.0,,,,20469,0.7918413210220333,9050,8986.3,99,89.10000000000004,lora_trAll_lora_r3_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-5,64.0,,,,20469,0.7853192632761737,8800,8736.5,102,91.80000000000005,lora_trAll_lora_r64_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,1e-5,8.0,,,,20469,0.7938736626117543,9013,8949.300000000001,104,93.60000000000002,lora_trAll_lora_r8_lr1e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-3,16.0,,,,20469,0.0031022521862328397,53447,53297.899999999994,0,0.0,lora_trAll_lora_r16_lr5e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-3,1.0,,,,20469,0.0002931261908251502,53664,53633.2,0,0.0,lora_trAll_lora_r1_lr5e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-3,32.0,,,,20469,0.00310225218623284,53488,53338.700000000004,0,0.0,lora_trAll_lora_r32_lr5e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-3,3.0,,,,20469,0.002305926034491182,53466,53347.0,0,0.0,lora_trAll_lora_r3_lr5e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-3,64.0,,,,20469,0.003844838536323221,53335,53162.399999999994,0,0.0,lora_trAll_lora_r64_lr5e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-3,8.0,,,,20469,0.0034442327421955153,53470,53291.600000000006,0,0.0,lora_trAll_lora_r8_lr5e-3
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-4,16.0,,,,20469,0.9981728467438565,21177,21105.4,89,80.10000000000002,lora_trAll_lora_r16_lr5e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-4,1.0,,,,20469,0.9970101128535834,22200,22131.7,71,63.9,lora_trAll_lora_r1_lr5e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-4,32.0,,,,20469,0.9984366603155992,20399,20327.3,96,86.40000000000002,lora_trAll_lora_r32_lr5e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-4,3.0,,,,20469,0.9979188040451413,23073,22999.0,85,76.50000000000004,lora_trAll_lora_r3_lr5e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-4,64.0,,,,20469,0.9984904001172504,19271,19200.1,91,81.90000000000003,lora_trAll_lora_r64_lr5e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-4,8.0,,,,20469,0.9979920855928476,22493,22418.1,84,75.60000000000004,lora_trAll_lora_r8_lr5e-4
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,16.0,,,,20469,0.9925887928086374,8586,8540.0,122,109.80000000000004,lora_trAll_lora_r16_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,1.0,,,,20469,0.9922174996335921,9109,9060.9,115,103.50000000000004,lora_trAll_lora_r1_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,32.0,,,,20469,0.9926034491181787,8481,8434.2,116,104.40000000000005,lora_trAll_lora_r32_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,3.0,,,,20469,0.9939029752308369,8567,8523.9,116,104.40000000000005,lora_trAll_lora_r3_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,64.0,,,,20469,0.9936293907860668,8402,8358.2,117,105.30000000000005,lora_trAll_lora_r64_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,8.0,,,,20469,0.9931848160633152,8481,8434.9,115,103.50000000000004,lora_trAll_lora_r8_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-5,,,,,20469,0.9934290878890029,9058,9013.3,166,149.40000000000006,lora_trAll_sv_svec_lr5e-5
google_gemma-3-12b-it_scores-lora.jsonl,lora,5e-6,16.0,,,,20469,0.4247056524500464,4617,4532.200000000001,95,85.50000000000006,lora_trAll_lora_r16_lr5e-6
