source_file,base_model,adapter_type,lr,rank,tr_from_name,tr_actual,accuracy,negative_shift_count,negative_shift_score,positive_shift_count,positive_shift_score,raw_adapter_name
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,100,100,0.18100000000000002,35705,32466.0,432,241.0,meta-llama_Llama-3.2-3B-Instruct_lora_tr100_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,100,100,0.023000000000000003,40428,37018.4,111,51.7,meta-llama_Llama-3.2-3B-Instruct_lora_tr100_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,100,100,0.025999999999999995,1868,772.4,2632,1181.4,meta-llama_Llama-3.2-3B-Instruct_lora_tr100_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,500,500,0.0312,40816,37995.799999999996,29,14.600000000000001,meta-llama_Llama-3.2-3B-Instruct_lora_tr500_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,500,500,0.036,40396,37384.200000000004,93,49.099999999999994,meta-llama_Llama-3.2-3B-Instruct_lora_tr500_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,500,500,0.0532,30967,25655.9,777,391.4,meta-llama_Llama-3.2-3B-Instruct_lora_tr500_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,1000,1000,0.0626,38843,35730.7,207,116.69999999999999,meta-llama_Llama-3.2-3B-Instruct_lora_tr1000_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,1000,1000,0.014199999999999999,41011,38207.4,23,12.400000000000002,meta-llama_Llama-3.2-3B-Instruct_lora_tr1000_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,1000,1000,0.0185,38836,34877.799999999996,175,85.3,meta-llama_Llama-3.2-3B-Instruct_lora_tr1000_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,2000,2000,0.047150000000000004,40497,37534.0,70,37.9,meta-llama_Llama-3.2-3B-Instruct_lora_tr2000_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,2000,2000,0.036,40540,37631.700000000004,64,34.0,meta-llama_Llama-3.2-3B-Instruct_lora_tr2000_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,2000,2000,0.009600000000000001,40639,37544.0,67,29.9,meta-llama_Llama-3.2-3B-Instruct_lora_tr2000_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,3000,3000,0.046466666666666656,40453,37592.7,75,42.1,meta-llama_Llama-3.2-3B-Instruct_lora_tr3000_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,3000,3000,0.024466666666666668,40715,37863.4,54,28.000000000000004,meta-llama_Llama-3.2-3B-Instruct_lora_tr3000_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,3000,3000,0.014066666666666668,38966,35485.0,196,100.1,meta-llama_Llama-3.2-3B-Instruct_lora_tr3000_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,4000,4000,0.033350000000000005,40777,37966.3,42,23.6,meta-llama_Llama-3.2-3B-Instruct_lora_tr4000_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,4000,4000,0.0179,40985,38204.399999999994,24,12.5,meta-llama_Llama-3.2-3B-Instruct_lora_tr4000_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,4000,4000,0.015825000000000002,39199,35649.8,184,97.60000000000001,meta-llama_Llama-3.2-3B-Instruct_lora_tr4000_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-3,4.0,5000,5000,0.03438,40524,37704.399999999994,70,34.49999999999999,meta-llama_Llama-3.2-3B-Instruct_lora_tr5000_lora_r4_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-4,4.0,5000,5000,0.016100000000000003,41012,38218.5,32,16.7,meta-llama_Llama-3.2-3B-Instruct_lora_tr5000_lora_r4_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-lora.jsonl,Llama-3.2-3B-Instruct,lora,1e-5,4.0,5000,5000,0.01158,40446,37371.0,99,50.0,meta-llama_Llama-3.2-3B-Instruct_lora_tr5000_lora_r4_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-randlora.jsonl,Llama-3.2-3B-Instruct,randlora,1e-3,512.0,100,100,0.032,40169,36584.0,115,56.60000000000001,meta-llama_Llama-3.2-3B-Instruct_randlora_tr100_randlora_r512_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-randlora.jsonl,Llama-3.2-3B-Instruct,randlora,1e-4,512.0,100,100,0.009,1229,424.6,2074,804.8000000000001,meta-llama_Llama-3.2-3B-Instruct_randlora_tr100_randlora_r512_lr1e-4
meta-llama_Llama-3.2-3B-Instruct_scores-randlora.jsonl,Llama-3.2-3B-Instruct,randlora,1e-5,512.0,100,100,0.005,1332,428.4,1133,360.8,meta-llama_Llama-3.2-3B-Instruct_randlora_tr100_randlora_r512_lr1e-5
meta-llama_Llama-3.2-3B-Instruct_scores-randlora.jsonl,Llama-3.2-3B-Instruct,randlora,1e-3,512.0,500,500,0.14439999999999997,37800,34385.5,354,194.8,meta-llama_Llama-3.2-3B-Instruct_randlora_tr500_randlora_r512_lr1e-3
meta-llama_Llama-3.2-3B-Instruct_scores-randlora.jsonl,Llama-3.2-3B-Instruct,randlora,1e-4,512.0,500,500,0.0872,23894,18578.5,1386,719.1,meta-llama_Llama-3.2-3B-Instruct_randlora_tr500_randlora_r512_lr1e-4
